UNITID,EFYTOTLT2011,EFYTOTLT2010
128902,2087,11817
128902,2079,3718
128902,8,3443
128957,281,3443
128957,281,498
129002,792,498
129002,792,2178
129020,27648,2173
129020,18461,5
129020,9187,302
129154,4169,302
129154,4169,731
129181,1977,731
129181,1977,27322
129215,6551,18151
129215,6114,9171
129215,437,3193
129242,5802,3193
129242,4279,1981
129242,1523,1981
129349,333,6650
129349,333,6118
129367,6514,532
129367,6514,6101
129428,514,4529
129428,514,1572
129482,676,327
129482,676,327
129491,219,6150
129491,219,6150
129525,8695,831
129525,6288,831
129525,2407,45
129534,479,45
129534,67,739
129534,412,739
129543,9008,222
129543,9008,222
129613,489,8758
129613,489,6388
129640,53,2370
129640,53,428
129686,93,64
129686,89,364
129686,4,8366
129695,10524,8366
129695,10524,311
129729,9837,311
129729,9837,56
129756,4424,56
129756,4424,103
129774,1093,101
129774,1093,2
129808,6832,10326
129808,6832,10326
129923,1406,9451
129923,1406,9451
129932,981,4434
129932,981,4434
129941,6981,1057
129941,4751,1057
129941,2230,5630
129969,567,5630
129969,567,1582
130004,9288,1582
130004,9288,1175
130040,2506,1175
130040,2506,6705
130110,241,4471
130110,241,2234
130129,193,495
130129,193,495
130174,6018,10002
130174,6018,10002
130183,8128,2379
130183,6978,2379
130183,1150,251
130217,3191,251
130217,3191,172
130226,9116,172
130226,6413,5063
130226,2703,5063
130253,7662,5708
130253,4862,4769
130253,2800,939
130314,2879,2968
130314,1179,2968
130314,1700,8645
130396,10706,6246
130396,10706,2399
130448,699,7420
130448,699,4828
130493,14217,2592
130493,9983,2580
130493,4234,1100
130509,636,1480
130509,636,10365
130581,169,10365
130581,169,615
130590,2602,615
130590,2453,14175
130590,149,9814
130606,6619,4361
130606,6619,702
130624,1017,702
130624,1017,162
130697,3514,162
130697,3055,2666
130697,459,2474
130776,7872,192
130776,7000,6698
130776,872,6698
130785,12,975
130785,12,975
130794,12893,3426
130794,6446,2988
130794,6447,438
130837,58,7927
130837,58,6925
130873,1501,1002
130873,1501,12
130891,6427,12
130891,6427,12462
130907,4820,6056
130907,4820,6406
130916,10406,54
130916,10406,54
130934,4099,669
130934,3619,669
130934,480,6366
130943,23239,6366
130943,19071,4760
130943,4168,4760
130989,1565,10388
130989,848,10388
130989,717,4170
131061,233,3685
131061,233,485
131098,2337,23680
131098,2133,19554
131098,204,4126
131113,14769,1518
131113,8821,748
131113,5948,770
131159,13618,222
131159,7595,222
