UNITID,LIAB011,LIAB910,ASSE011,ASSE910
160630,60900013,54730370,44693532,47436132
160649,28375047,25872612,4915873,5281347
160658,255792769,106761214,308822575,274397617
160667,5641203,4996145,-348438,-488648
160913,6118073,5833002,2653307,2461449
161077,7428517,7415023,17962390,16425422
161138,7715424,7826993,23251170,22426539
161192,3116177,3475344,14541705,12249002
161217,6820000,5694000,43645000,38816000
161226,17020000,15540000,55093000,51796000
161235,9268000,9175000,11181000,11112000
161244,6940000,7004000,10105000,10079000
161253,120835000,123616000,405673000,360109000
161280,84821000,83997000,79159000,67147000
161299,8052672,7174983,49436511,46611191
161341,4592000,3791000,26406000,24492000
161484,2620187,1645954,13049801,12534458
161545,16316253,16636179,34629829,32565163
161554,105250000,103254000,156112000,143655000
161581,664803,795334,13197692,12641618
161688,4296524,4736505,37731173,36604339
161767,37592613,32989124,74185687,82261966
161864,12232823,11290389,89745747,85017783
161873,45561939,48613079,84060819,60426657
162007,30496375,26470175,151632740,110828750
162104,4462103,5394537,51426087,52395116
162122,16862976,13878303,92118851,89771773
162168,5851135,5731194,52406760,51826518
162283,43079555,36969299,236114615,239410207
162557,16770552,4684217,68312942,67878678
162584,37490526,27554430,82677568,74315902
162609,3139031,3232537,27242714,15906391
162690,9178470,6702095,79963445,64570095
162706,6513254,6962082,94091505,93476036
162779,27622816,26385022,164642150,157827395
163204,74232599,67352167,324123121,277588135
163259,304000333,305415691,793234425,743323539
163268,145199892,135456359,228007039,195177473
163286,551559099,561832792,1636084220,1492754410
163338,64913211,68308149,137548998,133972132
163426,85466556,87734452,408237917,377812237
163453,102183105,104701465,320501755,284648655
163657,19051911,19004773,145954218,128287517
163851,107465034,74030323,263498594,228737189
163912,46623566,50635914,119188311,116724458
164076,216932350,148518382,498342681,435611907
164146,128183750,183333077,177257036,156752614
164155,,,,
164313,5894104,8160436,77716722,62306473
164535,,,,
164775,4500788,4429724,11560240,9705218
165024,111584330,67732281,82934113,72808406
165033,8955829,7614731,31385872,27846650
165112,20129677,19898205,36147063,32376659
165194,6243996,6579926,18365642,17169356
165608,,,,
165820,45437505,25895542,80129966,66941564
165866,49811011,37652706,67025324,63509572
165981,4518687,4053799,42709522,23298571
166133,13548676,13880897,39252096,33889190
166513,321831000,218475000,213469000,182289000
166629,936484000,762530000,883816000,815916000
166638,384595000,201303000,248634000,223634000
166647,7399845,5960236,11818581,14642095
166665,114493000,131595000,109475000,87762000
166674,20497765,20778464,32996906,27163761
166692,13889726,13131292,60512784,42258293
166708,576981686,547025198,443737588,447801504
166823,12017205,9175185,26936229,22274306
166887,18533396,18222543,35965882,32728743
166957,13614676,9614749,18346732,12941741
167288,8786675,9125890,28556082,25346468
167312,21559561,21082509,60617683,41874597
167376,7827869,8237568,24710941,19968389
167525,5684322,5235645,12407527,12290498
167534,12447270,12924968,32369949,33576776
167631,5277410,5823094,28628756,29544943
167729,32394574,30659560,87967028,70236330
167871,,,,
167905,17386987,17991344,37096908,33577042
167987,284350000,228869000,78678000,65119000
168263,23239158,17973570,61557585,55120861
168430,26053834,26493494,87162957,82517422
168607,5453270,4794165,15842791,16107962
168883,11287021,12616011,24370641,24031053
169248,249434679,259674436,634562259,545292205
169275,71338379,80857231,106656969,99929417
169521,7571084,7512379,148566952,141572941
169798,330997250,335635675,255766039,231072256
169910,166708156,162412476,295355325,250831671
169974,4496804,4903741,12194801,11659238
169992,5495443,5791749,10633493,9999972
170055,71475029,74643484,110628883,100087420
170082,350750853,328331371,589076218,538757542
170240,56664655,58481347,78140861,77107773
170444,45327794,49208941,62299103,48424369
170541,8391509,8322750,125098940,122847245
170550,15406759,15807231,61961191,56882353
170587,4783764,6142555,15969401,16189855
170620,11456006,11599072,54395920,49604548
170639,31990418,33219194,47958386,46934537
170657,72006499,77813280,137988429,130448653
170790,31340407,16322781,324748804,314964760
170976,4678454000,4298007000,10560068000,9016385000
171100,1410857888,1375797861,2724532091,2467778487
171128,107438000,100967000,200067000,200990000
171137,30337000,31351000,167714000,162468000
171146,23081000,23411000,196480000,184135000
171155,6073809,6328066,45797244,41936550
171225,3056247,3201824,39959981,40884482
171234,5056196,5849848,18943124,18844033
171304,24794023,26830663,29236888,27439357
171395,9691964,3958401,32688319,28928612
171456,123371229,135111461,225135831,219277330
171483,32239536,34215928,58197393,56328588
171535,28040861,30746573,371577772,363107032
171571,180528481,177020829,355495486,321080996
172051,159415697,161542547,216334269,201758300
172200,14024953,16303616,136853966,131117535
172291,6627091,9345619,53895713,52135727
172307,26784707,26367524,45965671,40993059
172422,,,,
172617,48438619,52751068,134267870,127096354
172635,22411519,35739332,251012244,222096097
172644,707846223,697678982,879055633,894726532
172671,2013006,3464581,37889378,33506538
172699,547637000,488712665,358385526,328175223
172918,12120000,12966000,25543000,24559000
172954,7224000,7191000,19945000,20833000
172963,24644000,18313000,51812000,48165000
173063,9016000,9147000,20290000,17957000
173115,3566000,3647000,7728000,7138000
173124,42484000,37026000,62568000,58972000
173203,13382000,14213000,32530000,30988000
173416,8575000,8843000,34561000,32107000
173461,16298000,12857000,40857000,31172000
173559,21882000,17714000,40962000,32370000
173638,9737000,8612000,18506000,14894000
173708,18088000,12588000,40895000,29472000
173735,8351000,8693000,20681000,20051000
173799,16262000,16079000,43108000,40442000
173805,7246000,7158000,8977000,8332000
173911,9654000,9254000,15971000,12701000
173920,149460000,120427000,200101000,187101000
173993,7048000,5341000,12169000,8498000
174020,27396000,29984000,56123000,57947000
174066,1673445733,1526128112,2840848153,2541181654
174075,3399185,3335776,47197814,41393366
174136,39218000,38903000,98484000,94074000
174233,40436472,41135447,347676323,353849970
174251,5254991,5930398,80138495,66923784
174358,70444000,62113000,98732000,89088000
174376,18588000,14920000,55841000,46556000
174428,42264000,38457000,60561000,54236000
174473,12267000,11844000,33070000,31675000
174570,3303000,3035000,8554000,6626000
174604,1428000,1213000,3804000,3262000
174738,16130000,16365000,67451000,66870000
174756,16864000,14665000,47793000,42575000
174783,137919000,93644000,174542000,163661000
175041,29666000,18472000,49715000,46127000
175078,33357000,35338000,67248000,65823000
175157,2562000,3079000,7308000,5832000
175236,12137000,12993000,32878000,28901000
175263,7464000,7847000,15994000,14822000
175272,89826000,92287000,157979000,150606000
175315,30932000,30371000,56443000,54160000
175342,57088722,61392729,134918786,130962993
175519,2626388,1580329,40677075,37209285
175573,11841651,11533450,36637459,37540924
